Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520722800.0 1020.0 NA 38 NA NA NA NA 110 NA NA NA NA 498 NA NA NA NA 744 NA NA NA
1520722800.0 1307.0 NA 81 140 54 0 NA 157 181 76 0 NA 843 1388 292 662 NA 1383 2536 334 699
1520722800.0 1308.0 NA 80 140 52 0 NA 157 177 76 0 NA 758 1094 326 708 NA 1070 1918 468 752
1520722800.0 1325.6 NA 98 NA NA NA NA 169 NA NA NA NA 4056 NA NA NA NA 5465 NA NA NA
1520722800.0 1325.7 NA 102 0 NA NA NA 167 0 NA NA NA 4156 267 NA NA NA 5928 305 NA NA
1520722800.0 1325.8 NA 98 0 NA NA NA 174 0 NA NA NA 4108 253 NA NA NA 4488 313 NA NA
1520722800.0 1329.1 NA 97 0 NA NA NA 168 0 NA NA NA 3457 262 NA NA NA 3897 298 NA NA
1520722800.0 134.813 NA 138 70 0 NA NA 211 93 0 NA NA 2007 380 682 NA NA 2497 426 763 NA
1520722800.0 136.733 NA 145 64 0 NA NA 226 100 0 NA NA 2405 499 723 NA NA 2968 746 777 NA
1520722800.0 136.7722 NA 95 0 NA NA NA 170 0 NA NA NA 2496 273 NA NA NA 2978 402 NA NA
1520722800.0 136.7803 NA 89 NA NA NA NA 166 NA NA NA NA 1023 NA NA NA NA 1894 NA NA NA
1520722800.0 150.0 72 101 222 0 NA 111 138 261 0 NA 6607 657 1768 979 NA 6839 794 2008 1045 NA
1520722800.0 150.1 NA 94 210 0 NA NA 170 250 0 NA NA 604 1626 991 NA NA 785 1867 1058 NA
1520722800.0 150.2 NA 93 216 0 NA NA 168 249 0 NA NA 598 1656 998 NA NA 729 1971 1079 NA
1520722800.0 150.3 NA 93 211 0 NA NA 170 249 0 NA NA 585 1756 989 NA NA 726 2060 1074 NA
1520722800.0 300.0 61 106 221 0 NA 136 184 305 0 NA 1624 879 1950 1010 NA 1774 1081 2209 1095 NA
1520722800.0 301.0 58 107 221 0 NA 137 184 305 0 NA 2150 909 1973 1033 NA 2331 1119 2253 1147 NA
1520722800.0 302.0 58 104 222 0 NA 136 183 304 0 NA 1764 884 1992 993 NA 1952 1094 2292 1076 NA
1520722800.0 541.0 44 0 NA NA NA 78 0 NA NA NA 412 265 NA NA NA 691 362 NA NA NA
1520722800.0 545.0 47 0 NA NA NA 78 0 NA NA NA 466 273 NA NA NA 827 408 NA NA NA
1520722800.0 560.0 42 0 NA NA NA 68 0 NA NA NA 393 278 NA NA NA 664 425 NA NA NA
1520722800.0 561.0 39 0 NA NA NA 68 0 NA NA NA 395 279 NA NA NA 650 414 NA NA NA
