Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1520978400.0 1.0 95 85 166 NA NA NA NA 186 360 254 NA NA NA NA 1762 569 821 NA NA NA NA 2063 572 1402 NA NA NA NA
1520978400.0 10001.0 NA 112 477 78 0 NA NA NA 387 726 121 0 NA NA NA 760 2369 331 1350 NA NA NA 1173 3571 558 1545 NA NA
1520978400.0 10002.0 NA 112 NA NA NA NA NA NA 387 NA NA NA NA NA NA 619 NA NA NA NA NA NA 678 NA NA NA NA NA
1520978400.0 10003.0 NA 112 566 85 0 NA NA NA 386 703 121 0 NA NA NA 773 2305 298 1194 NA NA NA 1173 2612 422 1265 NA NA
1520978400.0 10004.0 NA 111 572 85 0 NA NA NA 383 705 121 0 NA NA NA 610 1960 349 1319 NA NA NA 584 2096 528 1485 NA NA
1520978400.0 10005.0 NA 109 573 84 0 NA NA NA 379 694 121 0 NA NA NA 771 2387 507 1283 NA NA NA 1113 2938 571 1450 NA NA
1520978400.0 10006.0 NA 107 568 79 0 NA NA NA 379 688 121 0 NA NA NA 781 2336 315 1447 NA NA NA 1014 3039 481 1655 NA NA
1520978400.0 10007.0 NA 108 570 76 0 NA NA NA 387 719 122 0 NA NA NA 799 2196 356 1339 NA NA NA 1027 2391 842 1524 NA NA
1520978400.0 10008.0 NA 118 559 79 0 NA NA NA 386 711 122 0 NA NA NA 679 2250 320 1326 NA NA NA 547 2858 504 2446 NA NA
1520978400.0 10009.0 NA 114 455 83 0 NA NA NA 387 722 122 0 NA NA NA 724 2466 290 1307 NA NA NA 1263 3533 413 1422 NA NA
1520978400.0 10023.0 NA 113 NA NA NA NA NA NA 387 NA NA NA NA NA NA 650 NA NA NA NA NA NA 969 NA NA NA NA NA
1520978400.0 10024.0 NA 126 601 86 0 NA NA NA 379 727 123 0 NA NA NA 741 2511 317 1352 NA NA NA 952 2427 457 1494 NA NA
1520978400.0 10024.1 NA 120 262 0 NA NA NA NA 387 357 0 NA NA NA NA 850 996 413 NA NA NA NA 925 1314 569 NA NA NA
1520978400.0 10024.2 NA 125 581 0 NA NA NA NA 387 720 0 NA NA NA NA 763 2232 1241 NA NA NA NA 773 2110 1343 NA NA NA
1520978400.0 10024.3 NA 133 242 0 NA NA NA NA 387 338 0 NA NA NA NA 746 1031 369 NA NA NA NA 637 1315 457 NA NA NA
1520978400.0 10024.4 NA 125 579 0 NA NA NA NA 387 726 0 NA NA NA NA 755 2453 1188 NA NA NA NA 794 2843 1301 NA NA NA
1520978400.0 10024.5 NA 126 81 0 NA NA NA NA 398 165 0 NA NA NA NA 729 473 166 NA NA NA NA 586 736 280 NA NA NA
1520978400.0 10025.0 NA 115 575 83 0 NA NA NA 380 723 122 0 NA NA NA 702 2379 317 1393 NA NA NA 694 2934 682 1756 NA NA
1520978400.0 10026.0 NA 138 602 86 0 NA NA NA 387 709 123 0 NA NA NA 777 3271 338 1335 NA NA NA 595 2477 606 1508 NA NA
1520978400.0 1004.0 NA 317 168 0 0 0 0 NA 414 211 0 0 0 0 NA 1471 454 118 176 439 343 NA 2240 568 358 971 1181 435
1520978400.0 10042.0 NA 112 491 80 0 NA NA NA 387 726 123 0 NA NA NA 810 2533 330 1334 NA NA NA 1281 3599 625 1472 NA NA
1520978400.0 10059.0 NA 115 598 86 0 NA NA NA 380 734 123 0 NA NA NA 1011 2856 298 1356 NA NA NA 1294 2274 413 2336 NA NA
1520978400.0 10071.0 NA 122 581 82 0 NA NA NA 380 693 122 0 NA NA NA 743 2604 379 1371 NA NA NA 805 2991 1109 1532 NA NA
1520978400.0 101.0 88 NA NA NA NA NA NA 154 NA NA NA NA NA NA 1144 NA NA NA NA NA NA 1694 NA NA NA NA NA NA
1520978400.0 1010.0 NA 28 71 0 NA NA NA NA 72 119 0 NA NA NA NA 184 271 145 NA NA NA NA 1670 491 259 NA NA NA
1520978400.0 102.0 85 NA NA NA NA NA NA 152 NA NA NA NA NA NA 854 NA NA NA NA NA NA 1069 NA NA NA NA NA NA
1520978400.0 1020.0 NA 37 NA NA NA NA NA NA 112 NA NA NA NA NA NA 342 NA NA NA NA NA NA 735 NA NA NA NA NA
1520978400.0 103.0 44 0 0 NA NA NA NA 91 0 0 NA NA NA NA 859 343 1428 NA NA NA NA 676 383 2860 NA NA NA NA
