Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520805600.0 10001.0 NA 120 334 64 0 NA 387 463 111 0 NA 504 1515 304 1116 NA 417 1631 323 1171
1520805600.0 10002.0 NA 110 329 73 0 NA 387 442 110 0 NA 498 1517 233 1113 NA 409 1617 348 1170
1520805600.0 10003.0 NA 118 327 72 0 NA 379 447 110 0 NA 500 1530 236 1115 NA 720 1727 353 1167
1520805600.0 10004.0 NA 121 325 75 0 NA 387 441 111 0 NA 474 1501 233 1116 NA 392 1642 337 1181
1520805600.0 10005.0 NA 115 328 75 0 NA 387 443 111 0 NA 551 1485 232 1113 NA 1373 1583 317 1171
1520805600.0 10006.0 NA 123 318 74 0 NA 379 443 111 0 NA 499 1493 289 1111 NA 549 1776 310 1175
1520805600.0 10007.0 NA 117 326 74 0 NA 387 451 112 0 NA 517 1521 296 1109 NA 459 1616 326 1164
1520805600.0 10008.0 NA 115 332 68 0 NA 387 450 112 0 NA 510 1560 230 1122 NA 406 1734 319 1182
1520805600.0 10009.0 NA 110 326 71 0 NA 387 447 112 0 NA 625 1583 234 1119 NA 476 1647 318 1185
1520805600.0 10023.0 NA 113 323 74 0 NA 388 436 111 0 NA 502 1511 291 1119 NA 432 1701 313 1177
1520805600.0 10024.0 NA 124 346 69 0 NA 380 464 113 0 NA 597 1802 308 1150 NA 439 1684 329 1251
1520805600.0 10024.1 NA 134 181 0 NA NA 384 266 0 NA NA 598 731 294 NA NA 427 722 331 NA
1520805600.0 10024.2 NA 132 341 0 NA NA 388 459 0 NA NA 595 1766 1124 NA NA 415 1773 1217 NA
1520805600.0 10024.3 NA 127 173 0 NA NA 388 257 0 NA NA 590 719 260 NA NA 420 730 310 NA
1520805600.0 10024.4 NA 132 344 0 NA NA 387 455 0 NA NA 599 1756 1119 NA NA 422 1987 1192 NA
1520805600.0 10024.5 NA 132 92 0 NA NA 388 177 0 NA NA 589 422 112 NA NA 415 511 153 NA
1520805600.0 10025.0 NA 120 342 71 0 NA 387 432 111 0 NA 565 1600 239 1130 NA 533 2743 315 1190
1520805600.0 10026.0 NA 140 347 67 0 NA 387 472 113 0 NA 603 2060 243 1139 NA 441 1772 322 1209
1520805600.0 10042.0 NA 118 333 72 0 NA 387 450 112 0 NA 544 1622 308 1140 NA 432 1602 331 1210
1520805600.0 10059.0 NA 128 350 70 0 NA 380 497 113 0 NA 634 2245 316 1151 NA 490 1761 355 1244
1520805600.0 10071.0 NA 123 338 76 0 NA 388 461 112 0 NA 548 1727 238 1147 NA 574 1637 325 1210
1520805600.0 10825.0 NA 230 364 84 0 NA 479 479 124 0 NA 1890 2332 448 2261 NA 1836 2289 437 2372
1520805600.0 10842.0 NA 234 369 88 0 NA 476 510 135 0 NA 1663 2439 382 2373 NA 1565 2333 454 2488
1520805600.0 10871.0 NA 247 370 94 0 NA 476 500 133 0 NA 1943 2806 691 2273 NA 2365 2767 803 2371
1520805600.0 11224.0 NA 240 367 0 NA NA 467 519 0 NA NA 1997 2503 2340 NA NA 1836 2377 2555 NA
1520805600.0 11224.6 NA 242 373 0 NA NA 476 490 0 NA NA 1773 2508 2256 NA NA 1483 2481 2386 NA
1520805600.0 126.0 71 90 251 NA NA 148 368 350 NA NA 1407 462 1352 NA NA 683 402 1432 NA NA
1520805600.0 127.0 67 96 253 NA NA 133 361 350 NA NA 1475 464 1349 NA NA 833 366 1420 NA NA
1520805600.0 128.0 62 90 243 NA NA 116 361 354 NA NA 916 466 1316 NA NA 517 372 1415 NA NA
1520805600.0 129.0 62 95 240 NA NA 117 361 346 NA NA 889 457 1306 NA NA 666 357 1382 NA NA
1520805600.0 130.0 67 97 249 NA NA 133 361 359 NA NA 1010 456 1338 NA NA 619 419 1392 NA NA
1520805600.0 1301.0 88 111 186 NA NA 153 378 274 NA NA 1582 507 850 NA NA 806 350 900 NA NA
1520805600.0 1301.17 75 120 191 NA NA 125 378 315 NA NA 1694 516 891 NA NA 770 384 943 NA NA
1520805600.0 1302.0 109 113 188 NA NA 168 370 294 NA NA 4077 592 988 NA NA 2437 387 996 NA NA
1520805600.0 1302.17 85 120 203 NA NA 135 379 324 NA NA 4115 652 1037 NA NA 2500 404 1033 NA NA
1520805600.0 1303.0 96 119 191 NA NA 158 378 298 NA NA 6336 484 1079 NA NA 2986 348 966 NA NA
1520805600.0 1303.17 80 127 206 NA NA 140 379 326 NA NA 8135 538 1099 NA NA 3936 404 1006 NA NA
1520805600.0 131.0 70 89 255 NA NA 137 361 348 NA NA 1473 452 1362 NA NA 692 363 1417 NA NA
1520805600.0 1312.0 NA 121 320 0 NA NA 386 402 0 NA NA 504 1454 638 NA NA 376 1405 676 NA
1520805600.0 132.0 104 93 272 NA NA 184 368 364 NA NA 3079 537 1455 NA NA 1163 382 1427 NA NA
1520805600.0 1321.0 NA 115 310 0 NA NA 386 391 0 NA NA 469 1322 682 NA NA 367 1461 723 NA
1520805600.0 1325.6 NA 106 NA NA NA NA 158 NA NA NA NA 2063 NA NA NA NA 2252 NA NA NA
1520805600.0 1327.0 NA 112 313 0 NA NA 386 403 0 NA NA 538 1394 634 NA NA 434 3166 687 NA
1520805600.0 1328.0 NA 118 317 0 NA NA 379 407 0 NA NA 583 1433 639 NA NA 3815 2081 684 NA
1520805600.0 133.0 97 108 268 NA NA 184 361 358 NA NA 4947 601 1599 NA NA 1856 439 1456 NA NA
1520805600.0 1330.0 NA 119 312 0 NA NA 379 405 0 NA NA 483 1361 648 NA NA 432 1327 690 NA
1520805600.0 1332.0 NA 123 321 0 NA NA 386 426 0 NA NA 597 1591 699 NA NA 429 1564 764 NA
1520805600.0 1333.0 NA 112 314 0 NA NA 387 412 0 NA NA 512 1498 694 NA NA 391 1510 757 NA
1520805600.0 1334.0 NA 122 323 0 NA NA 387 405 0 NA NA 650 1599 710 NA NA 971 1527 787 NA
1520805600.0 1335.0 NA 121 313 0 NA NA 386 420 0 NA NA 522 1525 698 NA NA 385 1510 864 NA
1520805600.0 1336.0 NA 125 322 0 NA NA 387 411 0 NA NA 567 2055 707 NA NA 409 1659 758 NA
1520805600.0 1337.0 NA 122 329 0 NA NA 387 434 0 NA NA 610 2017 715 NA NA 414 1689 789 NA
1520805600.0 1338.0 NA 126 315 0 NA NA 386 405 0 NA NA 562 1649 707 NA NA 413 1549 792 NA
1520805600.0 1339.0 NA 121 326 0 NA NA 387 418 0 NA NA 579 1925 707 NA NA 507 1646 767 NA
1520805600.0 134.0 NA 284 37 0 NA NA 363 76 0 NA NA 2961 115 67 NA NA 2062 160 97 NA
1520805600.0 134.701 NA 38 320 0 NA NA 83 406 0 NA NA 235 4464 672 NA NA 221 2591 734 NA
1520805600.0 134.702 NA 40 311 0 NA NA 86 398 0 NA NA 248 5616 651 NA NA 195 3128 704 NA
1520805600.0 134.703 NA 44 325 0 NA NA 96 416 0 NA NA 309 5608 666 NA NA 262 2730 724 NA
1520805600.0 134.704 NA 41 322 0 NA NA 82 404 0 NA NA 247 5452 650 NA NA 221 2598 710 NA
1520805600.0 134.705 NA 36 325 0 NA NA 90 422 0 NA NA 258 5853 697 NA NA 199 2784 828 NA
1520805600.0 134.706 NA 36 325 0 NA NA 87 417 0 NA NA 266 6017 720 NA NA 199 3081 797 NA
1520805600.0 134.707 NA 41 316 0 NA NA 86 417 0 NA NA 236 5395 650 NA NA 276 3123 718 NA
1520805600.0 134.708 NA 41 311 0 NA NA 87 402 0 NA NA 258 5154 649 NA NA 248 3246 707 NA
1520805600.0 134.709 NA 35 485 0 NA NA 88 600 0 NA NA 266 5639 664 NA NA 323 2809 778 NA
1520805600.0 134.71 NA 38 312 0 NA NA 80 393 0 NA NA 254 3938 642 NA NA 231 2178 700 NA
1520805600.0 134.801 NA 40 314 0 NA NA 87 413 0 NA NA 251 4113 639 NA NA 240 2404 707 NA
1520805600.0 134.802 NA 35 327 0 NA NA 86 417 0 NA NA 257 6673 635 NA NA 207 3225 698 NA
1520805600.0 134.803 NA 41 326 0 NA NA 89 420 0 NA NA 277 6032 639 NA NA 209 3009 708 NA
1520805600.0 134.804 NA 42 331 0 NA NA 89 420 0 NA NA 255 6743 643 NA NA 235 2987 703 NA
1520805600.0 134.805 NA 41 324 0 NA NA 90 420 0 NA NA 280 6701 652 NA NA 243 3698 711 NA
1520805600.0 134.806 NA 33 333 0 NA NA 91 433 0 NA NA 254 7244 645 NA NA 278 3058 705 NA
1520805600.0 134.807 NA 97 355 0 NA NA 199 484 0 NA NA 1111 7578 799 NA NA 596 3361 866 NA
1520805600.0 134.808 NA 104 355 0 NA NA 197 481 0 NA NA 1148 7707 716 NA NA 593 3580 806 NA
1520805600.0 134.809 NA 39 317 0 NA NA 85 408 0 NA NA 244 6440 649 NA NA 204 2978 717 NA
1520805600.0 134.81 NA 36 321 0 NA NA 87 412 0 NA NA 261 6328 638 NA NA 252 2828 699 NA
1520805600.0 134.811 NA 42 323 0 NA NA 93 417 0 NA NA 265 6705 641 NA NA 211 3318 705 NA
1520805600.0 134.812 NA 38 311 0 NA NA 84 402 0 NA NA 233 4164 635 NA NA 218 2382 692 NA
1520805600.0 134.813 NA 145 63 0 NA NA 226 102 0 NA NA 848 189 318 NA NA 659 281 362 NA
1520805600.0 134.901 NA 39 313 0 NA NA 85 417 0 NA NA 243 4190 642 NA NA 193 2226 713 NA
1520805600.0 134.902 NA 31 312 0 NA NA 89 404 0 NA NA 245 5244 643 NA NA 225 2552 741 NA
1520805600.0 134.903 NA 42 312 0 NA NA 86 415 0 NA NA 252 4802 648 NA NA 218 2644 702 NA
1520805600.0 134.904 NA 43 322 0 NA NA 92 406 0 NA NA 231 5600 641 NA NA 253 2678 704 NA
1520805600.0 134.905 NA 34 314 0 NA NA 89 400 0 NA NA 242 4707 640 NA NA 219 2376 700 NA
1520805600.0 134.906 NA 43 313 0 NA NA 92 399 0 NA NA 255 5470 641 NA NA 266 2768 691 NA
1520805600.0 134.907 NA 100 339 0 NA NA 195 465 0 NA NA 927 5714 689 NA NA 516 2824 768 NA
1520805600.0 134.908 NA 104 349 0 NA NA 197 464 0 NA NA 916 5746 681 NA NA 549 2787 795 NA
1520805600.0 134.909 NA 43 312 0 NA NA 91 399 0 NA NA 284 5108 647 NA NA 228 2491 695 NA
1520805600.0 134.91 NA 33 311 0 NA NA 88 394 0 NA NA 249 4657 650 NA NA 214 2513 723 NA
1520805600.0 134.911 NA 41 309 0 NA NA 90 395 0 NA NA 247 4906 648 NA NA 231 2504 713 NA
1520805600.0 134.912 NA 39 308 0 NA NA 85 398 0 NA NA 237 3912 641 NA NA 249 2554 697 NA
1520805600.0 134.99601 NA 40 322 0 NA NA 91 417 0 NA NA 281 7228 651 NA NA 272 3389 721 NA
1520805600.0 134.99602 NA 41 318 0 NA NA 88 399 0 NA NA 238 4579 647 NA NA 211 2430 701 NA
1520805600.0 134.99603 NA 42 318 0 NA NA 87 410 0 NA NA 243 6419 649 NA NA 247 3232 705 NA
1520805600.0 134.99901 NA 43 310 0 NA NA 91 401 0 NA NA 254 4806 640 NA NA 228 2531 707 NA
1520805600.0 1340.0 NA 111 311 0 NA NA 379 408 0 NA NA 507 1480 699 NA NA 426 1501 751 NA
1520805600.0 1341.0 NA 119 324 0 NA NA 387 420 0 NA NA 586 1949 714 NA NA 420 1735 773 NA
1520805600.0 1343.0 NA 117 313 0 NA NA 386 421 0 NA NA 547 1618 707 NA NA 416 1656 763 NA
1520805600.0 1344.0 NA 114 314 0 NA NA 386 408 0 NA NA 523 1600 703 NA NA 396 1544 762 NA
1520805600.0 1345.0 NA 122 319 0 NA NA 379 420 0 NA NA 537 1602 704 NA NA 641 1564 762 NA
1520805600.0 1347.0 NA 109 313 0 NA NA 386 401 0 NA NA 610 1590 705 NA NA 451 1565 761 NA
1520805600.0 1348.0 NA 112 311 0 NA NA 387 416 0 NA NA 510 1522 695 NA NA 415 1512 753 NA
1520805600.0 1349.0 NA 111 317 0 NA NA 387 407 0 NA NA 516 1516 702 NA NA 402 1554 779 NA
1520805600.0 135.1 323 0 115 NA NA 497 0 180 NA NA 1218 238 579 NA NA 983 287 605 NA NA
1520805600.0 135.11 308 0 115 NA NA 497 0 182 NA NA 1553 239 648 NA NA 1103 288 645 NA NA
1520805600.0 135.12 317 0 117 NA NA 490 0 178 NA NA 1127 231 565 NA NA 933 273 609 NA NA
1520805600.0 135.13 320 0 NA NA NA 497 0 NA NA NA 1079 250 NA NA NA 861 293 NA NA NA
1520805600.0 135.2 239 0 116 NA NA 504 0 177 NA NA 973 216 545 NA NA 927 270 605 NA NA
1520805600.0 135.3 235 0 115 NA NA 501 0 175 NA NA 1010 219 541 NA NA 904 262 611 NA NA
1520805600.0 135.4 318 0 112 NA NA 502 0 176 NA NA 1073 236 565 NA NA 923 291 626 NA NA
1520805600.0 135.5 299 0 114 NA NA 498 0 179 NA NA 1156 234 558 NA NA 937 279 607 NA NA
1520805600.0 135.6 317 0 118 NA NA 506 0 179 NA NA 1111 235 567 NA NA 954 282 604 NA NA
1520805600.0 135.7 299 0 110 NA NA 498 0 178 NA NA 1179 238 564 NA NA 959 291 626 NA NA
1520805600.0 135.8 145 NA NA NA NA 234 NA NA NA NA 403 NA NA NA NA 407 NA NA NA NA
1520805600.0 135.9 279 0 105 NA NA 498 0 175 NA NA 1051 226 541 NA NA 911 269 618 NA NA
1520805600.0 1350.0 NA 113 313 0 NA NA 386 424 0 NA NA 522 1564 700 NA NA 412 1556 755 NA
1520805600.0 1351.0 NA 114 313 0 NA NA 379 412 0 NA NA 527 1556 705 NA NA 380 1542 835 NA
1520805600.0 1352.0 NA 124 320 0 NA NA 379 408 0 NA NA 530 1559 706 NA NA 402 1935 760 NA
1520805600.0 1353.0 NA 116 318 0 NA NA 379 415 0 NA NA 533 1603 706 NA NA 413 1867 772 NA
1520805600.0 1354.0 NA 115 321 0 NA NA 387 406 0 NA NA 527 1559 700 NA NA 401 1540 754 NA
1520805600.0 1355.0 NA 125 319 0 NA NA 386 415 0 NA NA 581 1608 704 NA NA 490 1560 762 NA
1520805600.0 1356.0 103 110 318 0 114 156 371 433 0 182 3049 512 1570 703 555 1294 416 2614 775 615
1520805600.0 136.721 NA 72 322 0 NA NA 134 434 0 NA NA 559 6393 755 NA NA 394 2823 832 NA
1520805600.0 136.726 NA 74 338 0 NA NA 136 432 0 NA NA 524 7210 676 NA NA 400 3149 736 NA
1520805600.0 136.727 NA 142 359 0 NA NA 246 496 0 NA NA 1436 7245 692 NA NA 678 3515 747 NA
1520805600.0 136.728 NA 144 357 0 NA NA 246 496 0 NA NA 1484 7949 699 NA NA 1560 3447 766 NA
1520805600.0 136.729 NA 82 340 0 NA NA 128 425 0 NA NA 652 7037 862 NA NA 1995 3376 923 NA
1520805600.0 136.737 NA 79 360 0 NA NA 132 497 0 NA NA 596 12219 713 NA NA 443 5516 780 NA
1520805600.0 136.743 NA 81 346 0 NA NA 133 449 0 NA NA 656 11575 776 NA NA 440 5165 832 NA
1520805600.0 136.746 NA 77 350 0 NA NA 133 449 0 NA NA 829 11595 692 NA NA 492 6288 778 NA
1520805600.0 136.748 NA 76 355 0 NA NA 138 455 0 NA NA 651 10745 723 NA NA 427 4838 807 NA
1520805600.0 136.749 NA 80 348 0 NA NA 135 455 0 NA NA 829 12633 680 NA NA 568 4725 758 NA
1520805600.0 136.751 NA 80 376 0 NA NA 139 554 0 NA NA 698 14015 682 NA NA 379 5473 734 NA
1520805600.0 136.752 NA 78 344 0 NA NA 131 453 0 NA NA 916 12009 686 NA NA 1013 5050 740 NA
1520805600.0 136.754 NA NA 353 NA NA NA NA 460 NA NA NA NA 9570 NA NA NA NA 4557 NA NA
1520805600.0 136.759 NA 79 390 0 NA NA 129 519 0 NA NA 653 14842 694 NA NA 403 5493 766 NA
1520805600.0 136.763 NA 77 360 0 NA NA 137 485 0 NA NA 760 16091 707 NA NA 476 7941 797 NA
1520805600.0 136.764 NA 80 353 0 NA NA 134 483 0 NA NA 629 16908 777 NA NA 619 7550 843 NA
1520805600.0 136.765 NA 80 347 0 NA NA 134 473 0 NA NA 821 13964 789 NA NA 2198 5004 854 NA
1520805600.0 136.766 NA 80 381 0 NA NA 135 545 0 NA NA 811 16890 697 NA NA 651 7578 763 NA
1520805600.0 136.767 NA 74 341 0 NA NA 135 458 0 NA NA 654 12518 686 NA NA 1740 5255 740 NA
1520805600.0 136.776 NA 81 346 0 NA NA 131 442 0 NA NA 684 10448 783 NA NA 448 4227 840 NA
1520805600.0 136.778 NA 84 336 0 NA NA 136 428 0 NA NA 656 7386 723 NA NA 510 3143 791 NA
1520805600.0 1360.0 92 117 323 0 NA 222 378 423 0 NA 2766 405 1506 692 NA 1527 355 1526 755 NA
1520805600.0 1361.0 100 117 316 0 NA 226 378 414 0 NA 3429 566 1589 708 NA 1859 408 1546 757 NA
1520805600.0 1361.17 72 123 334 0 NA 203 379 453 0 NA 3804 572 1667 1138 NA 2018 430 2077 1201 NA
1520805600.0 1362.0 91 117 324 0 NA 223 370 408 0 NA 3756 501 1517 700 NA 2956 409 1575 762 NA
1520805600.0 1362.17 75 116 333 0 NA 203 372 452 0 NA 4086 543 1604 1144 NA 2651 409 1986 1199 NA
1520805600.0 1363.0 93 110 316 0 NA 226 389 415 0 NA 4317 531 1592 710 NA 2786 370 1528 764 NA
1520805600.0 1363.17 74 127 337 0 NA 203 371 454 0 NA 4425 556 1670 1143 NA 2740 397 1795 1193 NA
1520805600.0 1364.0 NA 118 316 0 NA NA 387 400 0 NA NA 530 1525 699 NA NA 407 1530 758 NA
1520805600.0 1365.0 NA 118 314 0 NA NA 379 425 0 NA NA 617 1534 697 NA NA 787 1534 748 NA
1520805600.0 1366.0 NA 115 317 0 NA NA 386 407 0 NA NA 571 1560 705 NA NA 597 1568 771 NA
1520805600.0 250199.17 286 NA NA NA NA 428 NA NA NA NA 3227 NA NA NA NA 2083 NA NA NA NA
1520805600.0 250199.18 349 NA NA NA NA 537 NA NA NA NA 4161 NA NA NA NA 2112 NA NA NA NA
1520805600.0 250203.18 NA 533 501 0 NA NA 1029 684 0 NA NA 26312 3785 1857 NA NA 11072 2639 1936 NA
1520805600.0 250204.18 NA 523 493 0 NA NA 967 666 0 NA NA 25734 4042 1857 NA NA 10541 2361 1937 NA
1520805600.0 250205.18 NA 512 507 0 NA NA 1035 708 0 NA NA 24971 4040 1867 NA NA 10926 3235 1948 NA
1520805600.0 250206.18 NA 522 516 0 NA NA 971 692 0 NA NA 24637 4259 1855 NA NA 10469 2970 1940 NA
1520805600.0 250207.18 NA 490 508 0 NA NA 989 679 0 NA NA 23706 3820 1848 NA NA 10137 2918 1922 NA
1520805600.0 250208.18 NA 542 523 0 NA NA 1075 714 0 NA NA 29236 5978 1882 NA NA 11171 3005 1977 NA
1520805600.0 4.28 NA 70 269 0 NA NA 118 358 0 NA NA 300 2257 2098 NA NA 634 3672 2166 NA
1520805600.0 4000.0 NA 124 292 NA NA NA 369 391 NA NA NA 2590 3972 NA NA NA 1871 2113 NA NA
