Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520892000.0 1020.0 NA 37 NA NA NA 112 NA NA NA 48 NA NA NA 72 NA NA
1520892000.0 1301.0 88 94 118 NA 152 375 288 NA 1442 395 358 NA 1245 392 839 NA
1520892000.0 1302.0 102 99 203 NA 167 377 276 NA 4011 766 451 NA 1642 629 510 NA
1520892000.0 1303.0 95 103 140 NA 160 375 303 NA 6773 381 720 NA 3053 417 1157 NA
1520892000.0 1325.2 NA 114 NA NA NA 388 NA NA NA 621 NA NA NA 556 NA NA
1520892000.0 135.1 355 0 100 NA 515 0 155 NA 838 133 153 NA 854 156 253 NA
1520892000.0 135.12 371 0 98 NA 516 0 154 NA 666 116 139 NA 514 125 251 NA
1520892000.0 135.2 284 0 93 NA 506 0 151 NA 607 111 129 NA 718 147 206 NA
1520892000.0 135.3 279 0 95 NA 514 0 155 NA 614 105 131 NA 848 125 214 NA
1520892000.0 135.4 364 0 101 NA 519 0 154 NA 626 116 138 NA 494 155 217 NA
1520892000.0 135.5 363 0 96 NA 508 0 153 NA 647 118 140 NA 505 132 277 NA
1520892000.0 135.6 345 0 98 NA 515 0 154 NA 737 123 147 NA 581 142 192 NA
1520892000.0 135.7 364 0 98 NA 504 0 152 NA 656 121 143 NA 749 131 262 NA
1520892000.0 135.8 147 NA NA NA 236 NA NA NA 244 NA NA NA 278 NA NA NA
1520892000.0 136.744 NA 69 575 0 NA 133 756 0 NA 500 11811 636 NA 554 4445 1523
1520892000.0 136.745 NA 72 550 0 NA 132 653 0 NA 433 7915 603 NA 431 3291 686
1520892000.0 136.762 NA 66 599 0 NA 134 769 0 NA 544 20658 621 NA 575 7647 706
1520892000.0 136.764 NA 67 572 0 NA 128 706 0 NA 534 15337 623 NA 566 5240 679
1520892000.0 150.1 NA 103 364 0 NA 386 490 0 NA 234 438 335 NA 348 533 371
1520892000.0 150.3 NA 101 363 0 NA 388 515 0 NA 240 428 342 NA 257 512 381
1520892000.0 300.0 64 132 395 NA 132 401 520 NA 1089 333 583 NA 1108 337 566 NA
1520892000.0 506.0 39 0 NA NA 79 0 NA NA 54 8 NA NA 131 17 NA NA
1520892000.0 556.0 16 44 0 NA 140 82 0 NA 418 68 10 NA 1100 56 37 NA
